,amenity,name,geometry,lon,lat
247,bank,Metrobank,POINT (125.0058311 7.7648326),125.0058311,7.7648326
248,bank,Metrobank,POINT (124.2517785 7.2212322),124.2517785,7.2212322
249,bank,Land Bank of the Philippines,POINT (122.9991533 8.237907099999999),122.9991533,8.2379071
250,bank,Pen Bank,POINT (124.7467099 6.373866),124.7467099,6.373866
251,bank,First Valley Bank,POINT (124.2404812 8.2292589),124.2404812,8.2292589
252,bank,Asia United Bank,POINT (124.6468471 8.484314100000001),124.6468471,8.4843141
253,bank,East West Bank,POINT (124.5417523 7.2039263),124.5417523,7.2039263
254,bank,BDO,POINT (124.5339265 7.1891888),124.5339265,7.1891888
255,bank,PNB,POINT (123.8411587 8.1475533),123.8411587,8.1475533
256,bank,Land Bank,POINT (125.1720358 6.11082),125.1720358,6.11082
257,bank,Jimenez misamis occidental,POINT (123.8297372 8.3469555),123.8297372,8.3469555
258,bank,Metrobank,POINT (125.172034 6.1087563),125.172034,6.1087563
259,bank,Philippine National Bank,POINT (123.8022553 8.4849494),123.8022553,8.4849494
260,bank,Cooperative Community Bank,POINT (123.8023898 8.485252900000001),123.8023898,8.4852529
261,bank,AUB,POINT (125.3555032 6.7531514),125.3555032,6.7531514
262,bank,Katipunan Bank,POINT (123.8059126 8.486938),123.8059126,8.486938
263,bank,EastWest Unibank,POINT (125.0029896 7.7609983),125.0029896,7.7609983
264,bank,MACO MPC,POINT (125.0057833 7.7615871),125.0057833,7.7615871
265,bank,FICCO,POINT (125.0074879 7.7491605),125.0074879,7.7491605
266,bank,City Savings Bank,POINT (123.438617 7.8246113),123.438617,7.8246113
267,bank,EastWest Unibank,POINT (124.6525785 8.478919299999999),124.6525785,8.4789193
268,bank,AUB Asia United Bank,POINT (125.0933321 7.9054952),125.0933321,7.9054952
269,bank,BDO,POINT (125.4584413 7.1869972),125.4584413,7.1869972
270,bank,EastWest bank,POINT (125.5027507 7.0175817),125.5027507,7.0175817
271,bank,Servus savings cooperative,POINT (124.3022864 8.495694200000001),124.3022864,8.4956942
272,bank,UnionBank,POINT (123.4382331 7.8238174),123.4382331,7.8238174
273,bank,One Network Bank Loan Department,POINT (123.4431118 7.82648),123.4431118,7.82648
274,bank,Rural Bank of Dipolog,POINT (123.4375417 7.8256177),123.4375417,7.8256177
275,bank,EastWest Unibank,POINT (123.4389878 7.8226256),123.4389878,7.8226256
276,bank,Security Bank,POINT (123.4373498 7.8233289),123.4373498,7.8233289
277,bank,Metrobank,POINT (123.4399291 7.8241634),123.4399291,7.8241634
278,bank,Metrobank,POINT (123.4375242 7.8233607),123.4375242,7.8233607
279,bank,UCPB,POINT (123.4372308 7.8233084),123.4372308,7.8233084
280,bank,Landbank,POINT (123.4403128 7.8233661),123.4403128,7.8233661
281,bank,1st Valley blank,POINT (123.8428356 8.1455722),123.8428356,8.1455722
282,bank,Kia motor shop,POINT (123.8466517 8.146770999999999),123.8466517,8.146771
283,bank,DBP,POINT (123.841791 8.1447725),123.841791,8.1447725
284,bank,BDO,POINT (123.842504 8.1446603),123.842504,8.1446603
285,bank,PNB,POINT (123.8427514 8.145358399999999),123.8427514,8.1453584
286,bank,Metro Bank,POINT (123.8430462 8.145503),123.8430462,8.145503
287,bank,China Bank,POINT (123.8420002 8.1463454),123.8420002,8.1463454
288,bank,Metro Bank,POINT (123.8415 8.1444381),123.8415,8.1444381
289,bank,UCPB,POINT (123.8407841 8.147955400000001),123.8407841,8.1479554
290,bank,RCBC,POINT (123.8445077 8.1449547),123.8445077,8.1449547
291,bank,PS Bank,POINT (123.8438223 8.144921999999999),123.8438223,8.144922
292,bank,Central Bank,POINT (123.8420029 8.153761299999999),123.8420029,8.1537613
293,bank,Royal Garden Hotel,POINT (123.8417829 8.144932799999999),123.8417829,8.1449328
294,bank,Phil. National Red Cross,POINT (123.854409 8.1540705),123.854409,8.1540705
295,bank,BPI,POINT (124.6577979 8.481479800000001),124.6577979,8.4814798
296,bank,ALABEL RURAL BANK,POINT (125.2861344 6.1021418),125.2861344,6.1021418
297,bank,One Network Bank,POINT (124.0473503 6.5536034),124.0473503,6.5536034
298,bank,PNB,POINT (125.0063771 7.7663588),125.0063771,7.7663588
299,bank,BDO,POINT (125.1540279 6.0951742),125.1540279,6.0951742
300,bank,Metrobank,POINT (125.1542731 6.0947154),125.1542731,6.0947154
301,bank,PBCOM,POINT (124.6431447 8.4765061),124.6431447,8.4765061
302,bank,One Network,POINT (124.6746311 6.68811),124.6746311,6.68811
303,bank,EastWest Unibank,POINT (124.2414731 8.2285428),124.2414731,8.2285428
304,bank,Alano and Sons Credit Corporation,POINT (123.8450508 8.144396800000001),123.8450508,8.1443968
305,bank,EastWest Bank,POINT (123.8465343 8.146695899999999),123.8465343,8.1466959
306,bank,BPI,POINT (124.6388238 8.4869611),124.6388238,8.4869611
307,bank,Penbank,POINT (124.9522579 6.3305479),124.9522579,6.3305479
308,bank,RCBC Bank,POINT (125.0897717 7.0133648),125.0897717,7.0133648
309,bank,Maybank,POINT (124.6448821 8.4808279),124.6448821,8.4808279
310,bank,BDO,POINT (125.3545691 6.7390878),125.3545691,6.7390878
